127.0.0.1, 2012-12-21 10:39:21, GET, /, HTTP/1.1, 303, 0.005000
127.0.0.1, 2012-12-21 10:39:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.739000
127.0.0.1, 2012-12-21 10:39:22, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:39:22, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:39:22, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:39:22, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2012-12-21 10:39:22, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2012-12-21 10:39:22, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2012-12-21 10:39:22, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:39:22, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:39:22, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:39:22, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-12-21 10:39:22, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:39:23, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:39:23, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:39:23, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:39:23, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.013000
127.0.0.1, 2012-12-21 10:39:23, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:39:26, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 303, 0.152000
127.0.0.1, 2012-12-21 10:39:26, GET, /admin/default/index, HTTP/1.1, 200, 0.054000
127.0.0.1, 2012-12-21 10:39:26, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-12-21 10:39:26, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:39:26, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:39:26, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2012-12-21 10:39:26, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2012-12-21 10:39:26, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2012-12-21 10:39:26, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2012-12-21 10:39:26, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2012-12-21 10:39:27, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:39:27, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:39:27, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-12-21 10:39:27, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:39:27, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:39:27, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-12-21 10:39:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2012-12-21 10:39:32, POST, /admin/default/index, HTTP/1.1, 303, 0.120000
127.0.0.1, 2012-12-21 10:39:32, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.066000
127.0.0.1, 2012-12-21 10:39:32, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:39:32, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2012-12-21 10:40:48, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.376000
127.0.0.1, 2012-12-21 10:40:48, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-12-21 10:40:48, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:40:48, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-12-21 10:40:48, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.128000
127.0.0.1, 2012-12-21 10:40:48, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.128000
127.0.0.1, 2012-12-21 10:40:48, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.119000
127.0.0.1, 2012-12-21 10:40:48, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2012-12-21 10:41:01, GET, /admin/default/peek/welcome/models/db.py, HTTP/1.1, 200, 0.061000
127.0.0.1, 2012-12-21 10:41:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2012-12-21 10:41:06, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.096000
127.0.0.1, 2012-12-21 10:41:06, GET, /admin/static/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-12-21 10:41:06, GET, /admin/static/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001000
